proper,con,dist,mag,absmag,ci
,Boo,134.0,10.66,5.02,0.87
,TrA,341.3,8.08,0.41,0.044
,Dra,112.9,5.72,0.46,1.315
,Ser,140.3,8.57,2.84,1.351
,Ser,421.9,10.06,1.93,0.769
,Ser,42.4,9.87,6.73,0.792
,Lup,157.0,3.37,-2.61,-0.191
,Dra,126.9,8.82,3.3,0.548
,Ser,25.8,8.28,6.22,0.992
,Lup,175.1,9.37,3.15,0.498
,Ser,53.8,8.18,4.53,0.635
,Boo,833.3,8.55,-1.05,0.944
,Lib,158.5,8.37,2.37,0.458
,Ser,92.8,8.4,3.56,0.492
,Lib,129.7,6.5,0.94,1.011
,Aps,196.1,8.92,2.46,0.17
,CrB,82.1,8.17,3.6,0.439
,CrB,188.7,7.37,0.99,0.984
,Lup,302.1,9.16,1.76,1.057
,Ser,19.6,7.16,5.7,0.804
,Ser,273.2,8.17,0.99,1.346
,Ser,223.7,8.88,2.13,1.181
,Boo,319.5,8.55,1.03,0.924
,Ser,45.1,7.91,4.64,0.656
,Ser,480.8,8.28,-0.13,0.982
,CrB,85.3,8.63,3.98,0.55
,Lib,63.9,8.87,4.84,0.541
,Boo,325.7,8.98,1.42,0.92
,Lib,348.4,8.72,1.01,1.906
,Lup,160.3,10.19,4.17,0.583
,Lib,158.5,6.53,0.53,1.118
,Aps,93.0,8.43,3.59,0.614
,Lup,123.6,8.98,3.52,0.517
,Lib,172.7,8.56,2.37,0.896
,Dra,178.9,7.33,1.07,1.1
,Ser,119.3,7.03,1.65,1.144
,Lib,296.7,6.46,-0.9,1.603
,Boo,123.0,9.29,3.84,0.456
,Lup,377.4,8.74,0.86,0.022
,Boo,144.3,9.2,3.4,0.679
,Ser,211.0,9.07,2.45,0.3
,Ser,134.6,9.64,4.0,0.446
,Lib,877.2,8.25,-1.46,1.401
,Lup,534.8,10.29,1.65,0.814
,Dra,149.0,8.37,2.5,0.2
,Ser,72.2,8.04,3.75,0.526
,Lup,159.2,4.54,-1.47,-0.155
,UMi,129.0,9.03,3.48,1.2
,Boo,134.6,8.43,2.78,0.536
,Cir,40.3,5.65,2.62,0.489
,Ser,515.5,8.43,-0.13,1.073
,Lib,66.9,8.39,4.26,0.644
,Ser,71.1,10.67,6.41,0.754
,CrB,17.9,4.99,3.73,0.577
,Lup,124.4,9.91,4.44,0.736
,Lib,76.8,11.61,7.18,1.109
,Ser,431.0,10.16,1.99,0.693
,Ser,204.1,9.19,2.64,1.081
,CrB,59.5,9.14,5.27,0.782
,Ser,280.1,9.41,2.17,1.047
,Lup,446.4,7.76,-0.49,1.746
,TrA,151.3,8.39,2.49,0.349
,Ser,469.5,8.36,0.0,1.33
,CrB,137.6,8.05,2.36,0.335
,Cir,137.6,4.48,-1.21,0.169
,Lup,154.1,6.49,0.55,0.945
,Lib,116.0,7.29,1.97,1.051
,Boo,160.3,9.31,3.29,0.631
,Dra,191.9,8.08,1.66,0.958
,Ser,526.3,9.0,0.39,-0.096
,Lib,529.1,8.6,-0.02,0.178
,Lib,225.7,7.63,0.86,1.39
,Lib,66.3,7.59,3.48,1.076
,Lup,81.6,7.99,3.43,0.624
,Lup,192.7,9.28,2.86,0.363
,Lib,127.2,9.62,4.1,0.585
,Lib,119.2,8.7,3.32,0.51
,Lup,806.5,8.78,-0.75,1.143
,CrB,34.8,10.45,7.74,1.44
,TrA,114.2,9.79,4.5,0.602
,Lup,340.1,10.03,2.37,0.363
,Ser,181.5,7.93,1.64,0.4
,Aps,628.9,8.18,-0.81,1.708
,Ser,51.1,6.11,2.57,0.264
,Lib,284.1,8.94,1.67,0.407
,Aps,724.6,9.15,-0.15,1.287
,Dra,324.7,9.02,1.46,0.42
,Dra,133.3,8.21,2.58,0.448
,Ser,793.7,9.2,-0.3,1.09
,Ser,403.2,10.24,2.21,1.042
,Cir,833.3,6.78,-2.82,1.189
,Ser,150.4,8.26,2.37,0.441
,Lib,172.4,5.72,-0.46,1.039
,Dra,259.7,8.56,1.49,0.376
,Ser,149.9,8.91,3.03,0.493
,Lup,526.3,9.12,0.51,1.008
,Ser,261.8,8.4,1.31,0.96
,Ser,292.4,8.67,1.34,1.229
,Boo,775.2,10.69,1.24,1.249
,Lup,229.4,8.35,1.55,1.135
,Ser,311.5,7.3,-0.17,1.486
,Aps,225.7,8.09,1.32,0.094
,Lib,28.6,7.52,5.24,0.721
,Cir,191.6,8.76,2.35,0.538
,Lib,103.2,11.44,6.37,1.164
,Dra,380.2,8.96,1.06,0.993
,Lup,124.4,10.26,4.79,0.427
,Lib,235.3,7.54,0.68,1.039
,Boo,150.4,6.07,0.18,1.212
,UMi,48.9,8.73,5.28,0.685
,Boo,271.7,9.43,2.26,0.426
,Lup,299.4,8.73,1.35,0.853
,Boo,438.6,10.63,2.42,0.218
,Lup,152.0,9.24,3.33,0.859
,Ser,259.1,9.74,2.67,0.435
,Lib,165.8,9.18,3.08,0.999
,Lib,512.8,8.71,0.16,1.54
,Lib,31.2,4.92,2.45,0.453
,Lup,502.5,8.24,-0.27,1.025
,TrA,571.4,8.97,0.18,0.997
,Ser,139.7,7.36,1.64,0.18
,TrA,66.0,8.81,4.71,0.6
,Ser,354.6,8.98,1.23,1.05
,Lib,119.2,9.38,4.0,0.637
,Oct,118.6,7.5,2.13,0.907
,Lib,48.9,10.12,6.68,0.9
,Ser,164.5,7.74,1.66,1.161
,Dra,54.0,7.33,3.67,0.794
,Boo,97.2,7.57,2.63,0.963
,Lib,160.0,9.99,3.97,0.566
,Ser,148.6,8.34,2.48,0.483
,Lib,318.5,8.47,0.96,1.5
,Ser,180.8,7.05,0.76,0.764
,Lup,431.0,7.48,-0.69,1.58
,Lib,313.5,8.73,1.25,1.2
,Ser,163.4,7.32,1.25,0.174
,Lib,37.5,10.05,7.18,1.022
,Lup,233.6,8.18,1.34,1.172
,Dra,48.5,9.88,6.45,0.909
,UMi,148.1,8.76,2.91,0.371
,Lib,174.5,9.97,3.76,0.43
,Lup,100.4,9.5,4.49,0.659
,Ser,157.0,9.57,3.59,0.453
,UMi,40.2,7.72,4.7,0.583
,Lib,73.9,8.5,4.16,1.783
,Cir,609.8,8.49,-0.44,1.568
Alkalurops,Boo,34.7,4.31,1.61,0.309
,Ser,229.4,8.54,1.74,0.944
,Ser,85.6,9.63,4.97,0.665
,Lib,290.7,8.01,0.69,1.553
,Lib,41.5,10.27,7.18,1.298
Alkalurops B,Boo,36.1,6.51,3.72,0.6
,Lup,180.5,8.99,2.71,0.526
,Lup,377.4,8.0,0.12,0.063
,Lib,138.7,9.74,4.03,0.664
,Aps,222.2,8.09,1.36,0.366
,Lup,190.1,9.32,2.92,0.479
,Boo,277.0,8.91,1.7,1.172
,Lup,636.9,10.24,1.22,0.565
,Dra,234.7,6.68,-0.17,1.098
,Lib,43.5,9.86,6.67,1.07
,Lup,192.7,7.51,1.09,0.073
,Boo,275.5,9.06,1.86,0.222
,Lib,86.5,10.13,5.44,0.79
,Lup,465.1,7.69,-0.65,1.163
,Dra,80.2,8.6,4.08,0.647
,Lib,420.2,7.3,-0.82,1.521
,Ser,94.6,9.64,4.76,0.529
,TrA,359.7,9.71,1.93,0.184
,Boo,617.3,9.91,0.96,1.077
,Lup,144.3,6.75,0.95,0.076
,Lup,186.6,8.74,2.39,0.552
,Lup,124.7,5.36,-0.12,-0.093
,TrA,213.7,8.8,2.15,-0.006
,Lib,34.6,11.62,8.93,0.746
,Ser,161.0,8.48,2.44,0.399
,Lup,266.7,8.79,1.66,0.512
,TrA,184.8,10.98,4.65,0.231
,Lup,74.0,8.82,4.47,0.616
,Ser,44.7,8.98,5.73,0.723
,Aps,371.7,7.09,-0.76,1.42
,Ser,70.3,7.17,2.94,0.448
,Boo,107.0,8.87,3.72,0.522
,Lib,130.4,8.26,2.68,0.414
,Lup,91.2,9.16,4.36,0.757
,TrA,192.7,9.21,2.79,0.5
,Lib,69.9,8.03,3.81,0.43
,Ser,225.2,10.25,3.49,0.649
,Ser,625.0,8.44,-0.54,1.464
,Ser,153.8,9.66,3.72,0.635
Edasich,Dra,31.0,3.29,0.83,1.166
,Lup,125.9,8.51,3.01,0.5
,Ser,203.3,7.67,1.13,1.039
,Aps,325.7,6.97,-0.59,0.085
,Lib,127.6,7.65,2.12,1.102
,Boo,349.7,8.84,1.12,1.054
,CrB,114.9,9.27,3.97,0.629
,Lup,158.5,9.72,3.72,0.821
,Aps,261.8,7.23,0.14,-0.004
,Ser,326.8,8.43,0.86,1.564
,Ser,574.7,9.33,0.53,0.989
,Dra,448.4,7.76,-0.5,1.14
,CrB,775.2,8.5,-0.95,1.155
,Lup,144.7,7.41,1.61,0.337
,Ser,157.0,9.66,3.68,0.521
,Lib,273.2,7.35,0.17,1.142
,Lib,70.7,9.63,5.38,0.567
,Lup,152.7,7.04,1.12,0.09
,TrA,343.6,8.8,1.12,1.186
,Lib,65.2,8.48,4.41,0.577
,Boo,63.5,6.79,2.78,0.607
,Lib,115.2,8.33,3.02,0.404
,Lup,257.7,8.88,1.82,0.927
,Lup,213.7,6.57,-0.08,1.52
,Lup,64.7,9.79,5.74,0.888
,UMi,116.8,8.6,3.26,0.912
,Boo,523.6,9.64,1.04,1.491
,Lup,136.2,9.23,3.56,0.549
,Lib,89.4,8.13,3.37,0.511
,Ser,92.3,7.89,3.06,0.377
,CrB,311.5,11.23,3.76,1.055
,Lup,106.6,9.97,4.83,0.623
,Lup,168.6,8.45,2.32,0.416
,Ser,154.1,8.35,2.41,0.303
,Boo,418.4,8.84,0.73,1.236
,Dra,200.0,8.31,1.8,0.221
,UMi,31.6,9.42,6.92,2.4
,Ser,191.2,8.48,2.07,1.027
,Lup,263.2,8.53,1.43,1.412
,UMi,314.5,10.4,2.91,0.646
,Ser,201.2,9.3,2.78,0.54
,Lup,120.3,4.6,-0.8,0.0
,Dra,389.1,10.72,2.77,0.836
,Lup,96.8,9.56,4.63,0.512
,Lib,209.6,7.52,0.91,0.955
,Boo,365.0,9.04,1.23,0.108
,Lib,671.1,8.58,-0.55,1.549
,Lup,184.5,8.49,2.16,0.814
,Boo,87.0,7.27,2.57,0.615
,Lup,107.2,7.63,2.48,0.122
,Boo,529.1,7.66,-0.96,1.6
,Lib,86.7,9.34,4.65,0.614
,Cir,298.5,8.91,1.54,1.183
,UMi,179.5,8.09,1.82,1.062
,Lib,121.2,8.5,3.08,0.314
,Lup,311.5,8.13,0.66,1.074
,Ser,129.7,10.06,4.5,0.331
,Lib,200.4,8.78,2.27,0.169
,Boo,97.0,9.37,4.44,0.737
,CrB,168.6,8.92,2.78,0.6
,Ser,369.0,10.59,2.76,0.48
,Ser,53.3,7.11,3.48,0.427
,Lup,54.6,6.66,2.97,0.27
,Cir,370.4,7.47,-0.37,0.074
,Ser,195.7,9.89,3.43,0.714
,Lib,411.5,9.99,1.92,0.614
,Lib,465.1,9.44,1.1,0.963
,UMi,60.0,8.8,4.91,0.797
,Boo,84.3,9.77,5.14,0.676
,Ser,211.4,5.16,-1.47,1.65
,Boo,274.7,9.79,2.6,0.33
,Lib,429.2,7.74,-0.42,0.151
,Ser,110.6,9.13,3.91,0.523
,Lup,296.7,7.51,0.15,1.013
,Ser,41.3,6.26,3.18,0.618
,Boo,191.9,9.17,2.75,0.485
,Ser,381.7,8.37,0.46,0.155
,Ser,79.2,10.43,5.94,0.82
,UMi,240.4,7.7,0.8,1.026
,Cir,330.0,9.28,1.69,1.027
,Lib,24.1,8.82,6.91,1.045
,Boo,266.0,7.16,0.04,1.399
,CrB,173.9,7.02,0.82,1.2
,TrA,354.6,8.87,1.12,1.172
,Cir,390.6,8.97,1.01,1.011
,Lup,215.5,9.68,3.01,0.775
,Ser,584.8,9.09,0.26,0.564
,Lup,309.6,7.62,0.17,1.228
,Lib,270.3,9.12,1.96,1.265
,Aps,237.5,8.31,1.43,0.962
,Lib,159.5,6.97,0.96,1.114
,Lib,369.0,8.66,0.82,0.312
,Lib,92.3,8.45,3.62,0.399
,Lup,64.4,8.51,4.47,0.52
,Ser,574.7,9.36,0.56,1.111
,Lup,244.5,8.84,1.9,1.448
,Lup,279.3,7.38,0.15,-0.007
,Ser,97.0,9.24,4.31,0.554
,Ser,263.9,7.87,0.76,0.606
,Lup,196.1,9.3,2.84,0.521
,Ser,281.7,8.25,1.0,0.89
,Lib,114.9,9.94,4.64,0.656
,CrB,120.5,9.2,3.8,0.403
,TrA,105.0,5.89,0.78,1.0
,Ser,271.0,10.28,3.12,0.391
,Lup,69.2,8.42,4.22,0.593
,Lup,78.2,8.05,3.58,0.491
,Lup,119.8,6.81,1.42,1.121
,Boo,158.0,5.46,-0.53,1.41
,Lib,281.7,8.78,1.53,0.46
,Boo,285.7,10.16,2.88,0.627
,Lup,156.5,8.66,2.69,0.379
,Lib,188.0,10.21,3.84,0.637
,UMi,134.4,9.1,3.46,0.481
,Boo,172.7,9.32,3.13,0.568
,Boo,88.0,7.49,2.77,0.563
,Boo,512.8,7.09,-1.46,1.611
,TrA,261.8,8.36,1.27,0.021
,CrB,444.4,7.47,-0.77,1.337
,Ser,234.2,6.97,0.12,1.64
,Lup,245.7,8.85,1.9,0.994
,Ser,62.5,10.69,6.71,1.123
,Dra,123.0,6.44,0.99,0.079
,Boo,114.9,8.76,3.46,0.877
,Dra,127.7,8.71,3.18,0.351
,Dra,63.2,9.63,5.63,0.443
,CrB,75.7,8.35,3.96,0.494
,Lup,131.6,9.81,4.21,0.773
,Lib,157.2,8.53,2.55,0.516
,Lup,225.2,7.6,0.84,1.02
,Boo,53.7,7.16,3.51,0.516
,Lup,279.3,8.19,0.96,1.055
,Lib,245.1,8.11,1.16,1.083
,Ser,290.7,7.88,0.56,1.298
,Ser,289.9,11.2,3.89,0.56
,Lib,369.0,9.67,1.84,1.11
,CrB,154.3,9.01,3.07,0.685
,Aps,500.0,8.67,0.18,1.602
,Aps,67.9,9.22,5.06,0.774
,Lib,120.0,7.78,2.38,0.569
,Boo,229.4,8.5,1.7,0.955
,Lib,203.7,6.97,0.42,0.742
,Nor,237.5,8.02,1.14,0.077
,Cir,537.6,8.38,-0.27,1.089
,CrB,343.6,8.14,0.46,1.568
,TrA,330.0,7.74,0.15,0.044
,Lup,196.9,9.11,2.64,0.441
,Lup,153.4,7.77,1.84,0.387
,Ser,122.2,9.77,4.33,0.641
,Lib,617.3,9.73,0.78,1.068
,Lib,154.1,9.79,3.85,0.42
,Lup,90.4,9.74,4.96,0.561
,Ser,335.6,8.87,1.24,0.581
,Ser,123.9,9.28,3.81,0.657
,Lib,137.4,8.35,2.66,0.324
,Lib,70.3,8.66,4.42,0.583
,Lup,285.7,9.22,1.94,0.529
,Lup,526.3,8.55,-0.06,1.165
,Lup,155.0,9.46,3.51,0.485
,Lup,202.4,8.89,2.36,0.574
,Ser,214.6,8.69,2.03,0.483
,Boo,157.0,8.36,2.38,0.45
,Boo,227.8,9.1,2.31,0.461
,Lup,81.8,10.25,5.68,0.771
,UMi,159.5,6.87,0.86,0.998
,Lup,100.7,10.33,5.32,0.654
,Ser,193.8,7.68,1.24,0.38
,Ser,61.2,8.69,4.76,0.61
,Lup,108.8,7.41,2.23,0.188
,Lup,862.1,7.63,-2.05,1.346
,Lib,122.1,9.62,4.19,0.718
,Boo,458.7,7.86,-0.45,-0.125
,UMi,806.5,9.22,-0.31,1.154
,Ser,175.4,9.09,2.87,0.5
,Lup,167.8,9.18,3.06,0.514
,Ser,96.9,7.93,3.0,0.61
,Ser,675.7,8.23,-0.92,1.537
,Lup,131.2,5.46,-0.13,-0.15
,Ser,471.7,8.37,0.0,1.143
,Ser,102.9,8.73,3.67,0.966
,Dra,144.5,9.6,3.8,0.559
,Ser,90.7,8.01,3.22,0.544
,Lup,91.0,8.77,3.98,0.553
,Ser,195.7,8.29,1.83,1.051
,UMi,189.4,8.89,2.5,0.012
,TrA,277.0,6.92,-0.29,-0.024
,Lib,86.1,9.61,4.94,0.54
,Lup,390.6,8.45,0.49,1.047
,Lib,106.3,7.8,2.67,0.596
,Lup,234.7,9.63,2.78,1.087
,TrA,209.2,5.71,-0.89,1.646
,Ser,125.5,10.3,4.81,0.535
,Ser,166.9,10.37,4.26,0.58
,Lib,158.7,9.36,3.36,0.495
,Lib,657.9,10.19,1.1,0.475
,Lib,192.3,8.3,1.88,0.291
,Ser,25.6,9.9,7.86,1.554
,Lib,150.4,7.59,1.7,1.08
,Ser,244.5,6.01,-0.93,1.654
,Boo,32.5,11.58,9.02,1.605
,Boo,32.1,7.48,4.94,0.676
,Boo,300.3,7.93,0.54,1.082
,Dra,85.1,6.53,1.88,0.134
,Aps,219.8,8.65,1.94,0.289
,Lib,892.9,7.15,-2.6,1.66
,Aps,892.9,8.81,-0.94,0.793
,Ser,196.1,7.72,1.26,0.594
,Lup,137.4,9.47,3.78,0.473
,Lib,92.4,8.81,3.98,0.54
,Ser,99.2,10.51,5.53,0.73
,Ser,26.3,10.2,8.1,1.334
,Ser,126.4,8.49,2.98,0.293
,Boo,434.8,9.81,1.62,1.263
,TrA,122.9,7.44,1.99,1.052
,CrB,143.9,8.88,3.09,0.401
,Aps,89.0,7.61,2.86,1.091
,Ser,140.6,10.37,4.63,0.639
,Lib,595.2,7.49,-1.38,1.193
Nusakan,CrB,34.3,3.66,0.98,0.319
,Dra,195.7,5.9,-0.56,1.441
,Lup,565.0,7.01,-1.75,1.754
,UMi,89.3,9.69,4.94,0.699
,Lup,234.2,9.23,2.38,0.511
,Cir,257.7,8.7,1.64,1.042
,Boo,43.2,9.06,5.88,0.774
,Ser,409.8,8.95,0.89,1.139
,Lib,199.2,9.65,3.15,0.629
,Aps,740.7,8.39,-0.96,3.81
,CrB,24.6,11.07,9.12,1.61
,Lup,142.7,9.46,3.69,0.657
,Lup,763.4,7.48,-1.93,0.021
,CrB,161.8,9.53,3.48,0.443
,Ser,123.2,6.93,1.48,0.367
,Lib,206.2,9.25,2.68,0.756
,Lib,299.4,8.45,1.07,0.107
,Lib,20.6,6.89,5.32,0.788
,Boo,109.4,9.29,4.1,0.74
,Aps,64.6,9.48,5.43,0.806
,Lib,231.5,8.85,2.03,0.617
,Lib,20.5,7.57,6.01,0.868
,Ser,250.6,8.09,1.1,0.334
,UMi,255.1,9.03,2.0,0.715
,Ser,203.7,8.53,1.98,0.484
,Lup,323.6,7.0,-0.55,1.614
,Lib,135.5,8.04,2.38,0.742
,Lib,89.4,7.75,2.99,0.261
,Lib,240.4,5.64,-1.26,1.545
,Boo,281.7,9.09,1.84,0.995
,Lib,324.7,7.17,-0.39,1.008
,Ser,119.6,7.89,2.5,1.194
,CrB,97.1,8.66,3.72,0.644
,Lib,357.1,9.66,1.9,0.538
,Oct,65.1,6.49,2.42,0.303
,TrA,178.6,8.17,1.91,0.275
,Lup,222.2,7.34,0.61,0.988
,Ser,502.5,8.85,0.34,1.027
,Lup,171.2,9.3,3.13,1.657
,Lup,170.6,8.03,1.87,0.48
,Lup,478.5,6.1,-2.3,1.067
,Lib,227.8,8.32,1.53,1.503
,Ser,116.3,9.05,3.72,0.555
,Ser,102.5,8.09,3.04,1.115
,Lup,216.5,8.43,1.75,1.144
,CrB,293.3,8.6,1.26,1.051
,Ser,152.7,10.7,4.78,0.848
,Boo,57.8,6.69,2.88,0.37
,Lup,32.5,10.88,8.32,1.378
,Lup,132.5,8.62,3.01,0.445
,Lib,95.8,9.14,4.23,0.499
,Ser,111.6,7.11,1.87,0.374
,Boo,334.4,8.96,1.34,1.136
,CrB,327.9,8.93,1.35,1.231
,Ser,142.9,8.76,2.98,0.36
,Ser,39.7,5.15,2.15,0.245
,Lib,39.3,6.79,3.82,0.821
,Lib,458.7,7.73,-0.58,1.535
,Dra,259.7,6.9,-0.17,0.126
,Lib,143.5,8.19,2.41,0.525
,Ser,175.1,8.99,2.77,0.487
,CrB,67.4,7.64,3.5,0.47
,Lib,104.0,8.16,3.08,1.2
,Lup,112.4,8.93,3.68,0.658
,Boo,157.0,6.15,0.17,0.1
,Lup,398.4,7.75,-0.25,-0.039
,Lup,289.0,7.15,-0.16,0.28
,Ser,292.4,8.47,1.14,1.075
,Ser,147.9,7.92,2.07,1.141
,Ser,81.2,8.59,4.04,0.724
,Aps,925.9,11.85,2.02,0.518
,Lup,117.6,7.66,2.31,0.559
,CrB,150.4,9.4,3.51,0.46
,Lup,107.1,8.79,3.64,0.483
,UMi,267.4,8.62,1.48,1.061
,Dra,44.5,6.91,3.67,0.49
,Ser,196.5,8.71,2.24,1.138
,Lib,104.0,8.82,3.74,0.681
,Lup,233.6,8.17,1.33,0.02
,Dra,93.9,6.45,1.59,0.079
,Lib,214.1,8.03,1.38,0.226
,Lib,58.6,6.43,2.59,0.608
,Nor,854.7,10.19,0.53,0.713
,Lup,84.5,9.36,4.73,0.646
,Boo,281.7,7.89,0.64,1.179
,Ser,200.8,8.22,1.71,0.246
,UMi,193.1,10.29,3.86,0.667
,Ser,61.2,9.88,5.95,0.906
,Lib,24.9,10.53,8.55,1.423
,Ser,191.6,7.01,0.6,0.979
,Lup,265.3,8.65,1.53,1.002
,Lib,90.8,9.56,4.77,0.664
,Lup,83.6,8.84,4.23,0.554
,Lib,282.5,8.95,1.7,0.293
,Ser,357.1,10.12,2.36,0.725
,Lib,354.6,8.59,0.84,1.08
,Lib,256.4,7.77,0.72,1.037
,Lup,198.4,9.31,2.82,0.525
,UMi,21.8,6.57,4.87,0.665
,Ser,129.9,6.38,0.81,0.955
,Ser,118.1,9.6,4.24,0.547
,TrA,502.5,8.17,-0.34,1.141
,Aps,54.5,11.6,7.92,1.13
,Aps,326.8,9.63,2.06,0.455
,TrA,215.5,6.86,0.19,1.628
,Lib,813.0,9.18,-0.37,0.586
,UMi,775.2,8.69,-0.76,1.238
,Nor,57.8,7.68,3.87,0.77
,Lup,60.5,6.44,2.53,0.351
,Lib,106.3,9.94,4.81,0.566
,Lib,244.5,8.64,1.7,1.078
,Dra,215.5,6.32,-0.35,1.369
,CrB,401.6,8.54,0.52,0.823
,Lup,161.8,8.81,2.76,0.465
,Boo,125.5,6.84,1.35,0.071
,UMi,694.4,8.39,-0.82,1.192
,Ser,230.4,10.05,3.24,0.541
,Lup,335.6,5.26,-2.37,1.731
,UMi,21.5,7.3,5.64,0.803
,Lup,82.5,8.06,3.48,0.453
,Lib,387.6,8.69,0.75,1.448
,Lup,93.5,8.52,3.67,0.506
,Lib,347.2,8.32,0.62,1.293
,Ser,233.6,8.81,1.97,0.335
,Lib,89.5,8.64,3.88,0.736
,Nor,121.2,7.65,2.23,1.14
,Lup,444.4,7.83,-0.41,1.616
,Ser,64.2,10.94,6.9,0.709
,Nor,84.7,9.37,4.73,0.767
,Nor,222.7,10.71,3.97,0.639
,Cir,136.2,8.14,2.47,0.322
,Ser,189.8,9.88,3.49,0.45
,Boo,343.6,8.79,1.11,1.468
,UMi,751.9,9.24,-0.14,1.088
,Lib,88.7,6.69,1.95,0.398
,Ser,242.1,8.84,1.92,0.406
,Lib,141.8,10.13,4.37,0.462
,Ser,87.2,8.42,3.72,0.535
,Lib,97.3,9.61,4.67,0.641
,Ser,145.8,9.14,3.32,0.448
,Boo,216.9,8.72,2.04,0.446
,Boo,153.4,9.47,3.54,0.665
,Lup,427.4,9.83,1.68,0.386
,Ser,137.0,8.96,3.28,0.786
,Ser,143.5,7.13,1.35,1.025
,Boo,61.1,7.96,4.03,0.503
,Cir,574.7,9.74,0.94,1.176
,Ser,140.1,9.9,4.17,0.598
,Boo,403.2,10.17,2.14,1.023
,CrB,134.8,9.59,3.94,0.44
,UMi,69.5,6.93,2.72,0.378
,Ser,263.9,7.21,0.1,1.061
,Boo,286.5,9.16,1.87,0.334
,TrA,450.5,7.36,-0.91,-0.095
,UMi,155.5,6.94,0.98,0.944
,Ser,137.6,7.59,1.9,0.194
,Nor,163.4,8.82,2.75,0.402
,Lup,115.7,10.54,5.22,0.477
,Nor,952.4,8.45,-1.44,1.748
,Lib,314.5,8.55,1.06,1.073
,CrB,82.1,9.0,4.43,0.457
,Boo,95.3,8.36,3.46,0.641
,Lib,147.5,9.14,3.3,0.609
,Nor,303.0,6.7,-0.71,-0.023
,Ser,485.4,7.62,-0.81,1.449
,Lib,159.2,7.78,1.77,1.041
,UMi,602.4,8.4,-0.5,1.519
,Nor,401.6,8.02,0.0,1.416
,Dra,653.6,8.53,-0.55,1.418
,Lup,130.9,9.68,4.1,0.736
,Nor,199.6,8.65,2.15,1.308
,Lup,131.8,8.62,3.02,0.437
,Lib,395.3,7.25,-0.73,1.203
,Boo,70.3,7.63,3.4,0.554
,Boo,150.2,8.44,2.56,0.456
,Boo,147.3,7.93,2.09,0.305
,Ser,199.6,8.03,1.53,1.114
,Boo,568.2,7.63,-1.14,1.29
,Ser,285.7,7.61,0.33,0.029
,Cir,169.5,8.33,2.18,0.106
,TrA,476.2,8.46,0.07,1.285
,Boo,885.0,9.03,-0.7,1.461
,Lib,191.9,8.82,2.4,0.361
,Boo,156.0,8.63,2.66,0.469
,Ser,218.3,10.87,4.17,0.56
,Ser,126.1,9.58,4.08,0.519
,Ser,116.0,8.94,3.62,0.503
,Lib,148.4,9.52,3.66,0.7
,CrB,531.9,7.89,-0.74,0.129
,TrA,79.4,10.57,6.07,1.015
,Lup,126.1,6.23,0.73,-0.005
,Lib,168.4,9.77,3.64,0.615
,Boo,456.6,8.27,-0.03,1.183
,Dra,158.2,9.24,3.24,0.523
,CrB,168.6,6.45,0.32,0.205
,Ser,286.5,7.16,-0.13,1.21
,Boo,226.2,8.74,1.97,1.227
,Lup,81.6,9.0,4.44,0.61
,Ser,71.9,9.16,4.88,0.648
,Lup,101.9,8.8,3.76,0.654
,Lup,502.5,8.88,0.37,1.346
,Lib,227.8,8.84,2.05,1.064
,Boo,112.4,6.52,1.27,1.15
,Lup,246.3,10.12,3.16,0.56
,Dra,116.4,8.81,3.48,0.51
,Lib,406.5,9.32,1.27,0.514
,Dra,271.7,9.48,2.31,0.377
,Lup,180.8,8.91,2.62,0.481
,Lib,168.9,10.16,4.02,0.859
,Lib,177.6,8.73,2.48,0.35
,Ser,291.5,9.56,2.24,0.617
,Ser,325.7,9.67,2.11,1.249
,Lib,80.3,6.2,1.68,0.192
,Boo,346.0,9.8,2.1,1.05
,Lup,150.8,7.51,1.62,0.996
,Boo,840.3,11.1,1.48,0.399
,Ser,361.0,10.8,3.01,0.867
,Lib,155.8,5.82,-0.14,1.056
,Nor,178.6,8.35,2.09,0.802
,Boo,239.2,9.01,2.12,0.48
,Lib,77.0,7.79,3.36,0.637
,CrB,243.3,8.57,1.64,0.62
,Lup,107.0,8.02,2.87,0.556
,Lib,251.9,8.7,1.69,0.468
,Lup,210.5,8.42,1.8,-0.006
,Boo,108.1,6.81,1.64,0.037
,TrA,297.6,8.77,1.4,0.046
,Nor,578.0,8.49,-0.32,0.08
,Nor,185.5,6.78,0.44,1.243
,Lup,221.7,7.45,0.72,0.078
,Ser,305.8,8.99,1.56,0.18
,Aps,395.3,6.39,-1.59,-0.112
,Lib,303.0,9.72,2.31,0.32
,Lib,65.7,9.73,5.64,0.941
,Ser,50.2,11.61,8.11,1.204
,UMi,209.2,7.91,1.31,1.5
,Ser,104.8,8.66,3.56,0.397
,Boo,386.1,9.56,1.63,1.029
,Lup,129.7,7.5,1.94,0.986
,Ser,98.0,9.39,4.43,0.596
,TrA,306.7,8.2,0.77,1.032
,Ser,50.6,6.57,3.05,0.38
,Boo,161.6,7.97,1.93,1.191
,Boo,257.1,5.04,-2.01,1.589
,Dra,94.6,5.74,0.86,0.976
,Lup,229.9,9.55,2.74,0.818
,Ser,174.2,9.44,3.24,1.004
,Lup,268.1,9.42,2.28,1.015
,Ser,45.0,10.81,7.54,1.4
,Lup,267.4,9.05,1.91,0.524
,Lup,198.0,6.84,0.36,0.895
